,category,autoets,autoarima,linear_svr,stl_linear_svr,bayesian_ridge,stl_bayesian_ridge,residuals_are_independent
0,deterministic,73.89681960409096,9.345932228182358,0.11858136301137927,1.7086776438191009e-12,3.4376719829776194e-05,1.7086776438191009e-12,False
1,deterministic,73.89681960409129,49.18998845472301,0.2039305880729117,0.19698324197632128,0.05305699996242401,0.1541883758363367,False
2,deterministic,73.8968196040914,48.95277751725759,2.767952682400754,0.4987801475803364,3.314282995483718,0.49375395955284745,False
3,deterministic,7.331474826588821,3.4250458666669785,0.6251345001669039,4.626488942430123,0.6163745517310864,4.6946559865091135,False
4,deterministic,6.647874478935995,7.445413733818623,0.29679623105217756,4.533903584822488,0.5565572555656286,4.600455908731067,False
5,deterministic,7.437838947243767,7.4454140507476465,1.5843984328376135,5.140437449247496,2.407921198967462,5.188828509472195,False
6,deterministic,1.8699086923969344,2.127921166666685,0.6624326395909533,2.1504683116441297,0.13029696631772136,1.3278171733452264,False
7,deterministic,1.8699086923965318,0.8605124558609709,0.8051004010734722,2.245581245928613,0.17014007930822092,1.2084503793875208,False
8,deterministic,1.8699086923969421,0.8605122994393977,0.2321001305811327,1.731010128012585,0.38578110670571075,1.1769439492097202,False
9,deterministic,33.2425769175274,8.176320000000006,2.834551352971797,11.01276639110343,0.5621770390233293,10.91142531816707,False
10,deterministic,33.24257691752746,26.0297140033148,1.4723664870466902,10.790735057666803,0.5682094769675489,10.65856839777653,False
11,deterministic,33.2425769175274,26.104357636323478,6.465014184259324,11.501999220149859,1.569694534850044,11.441477217217361,False
12,deterministic,0.982563777142931,0.3621790723672886,0.3610776529798602,0.0714392624687886,0.09091229713407398,0.07447006410524783,False
13,deterministic,1.826998979880914,0.600063878331326,0.2995408400710123,0.14762345119760267,0.11132172466764878,0.17255290847141874,False
14,deterministic,1.8184881185564263,0.5778790851838277,0.29168531641798795,0.29323738616810846,0.14225566954015886,0.7215666752735858,False
15,deterministic,1.926235089976326,12.129991512581409,6.0113368530140265,1.4526073100271946,5.954781410864439,0.7163469332484902,False
16,deterministic,1.4819314989005539,0.46948690027000656,0.400282499220527,0.34942421366295795,0.3753581296885756,0.29815852383245406,True
17,stochastic,7.46907199670525,7.36447336708683,9.059811151100435,7.621072821117073,9.036230490356706,7.624481595766176,True
18,stochastic,27.498422706454384,8.607043781315236,8.270688501413415,9.168531790841614,8.22378904614299,9.168007855210535,True
19,stochastic,7.680276030924683,18.56950932277329,12.987820655641961,14.478988186653114,13.380791572968022,13.776487605453122,False
20,stochastic,7.6802760309246185,11.738414291338941,8.704364693745129,8.825769893290449,8.714636189450822,8.845474784430632,False
21,stochastic,7.544999680428613,7.47667429528572,8.738821062769546,7.472174317220329,8.709156082675628,7.481250257762922,True
22,stochastic,7.543877669632167,7.469130832502824,9.345662655271157,7.7790889266055885,9.339091156535304,7.782064605228329,True
23,stochastic,8.325105907841133,2.690434896568757,1.6461059161979452,1.8187394732933242,1.6756449180338129,1.8227344885969259,True
24,stochastic,7.974783848765664,3.9709848130806673,4.3570799650235,6.4094367169145405,4.442967064575285,4.987773915960633,True
25,stochastic,9.460986568122136,4.195914429138738,1.5698244290638512,1.8032569682698816,1.6085405045406107,1.8134778665386992,True
26,stochastic,7.218720655529515,3.530121578234354,1.6222261188668483,1.7660794822968666,1.6284499353656496,1.7715622298769165,True
27,stochastic,8.310814473218088,4.175553266098143,1.5946953630054304,1.7977724695441426,1.6196651354111073,1.8151295882085272,True
28,stochastic,8.303398679477601,2.128986666096941,1.7921521004728402,1.8721936119426694,1.8021453865502466,1.9060839437935337,True
29,stochastic,1.0336277623568217,0.25161432894782737,0.5119116273266723,0.6197852027907224,0.5871241634477035,0.5331792179615938,False
30,stochastic,1.0618057690382605,0.8569717704480924,0.3121177782065411,0.3122747550015945,0.31739669330140996,0.3233441342404592,False
31,stochastic,1.0055474141254435,0.838792085707788,0.3053421845014571,0.3062032263803175,0.3050556598582325,0.3062929454067918,False
32,chaotic,0.3595580805888334,0.36287348137805664,0.3327289772361631,0.351370670531581,0.3331563264463789,0.3512834406393584,False
33,chaotic,0.6138232247277191,0.61837769274707,0.6676647053563776,0.7221288310857662,0.6675270655967637,0.7219653275293509,False
34,chaotic,2.2326921643540723,0.20448923004746553,0.33741415296841876,0.29989348152231715,0.3559059456330064,0.3168883166475158,False
35,chaotic,22.28534112449103,8.646402574288741,5.5400637375499455,10.070003750800097,5.602105196938989,9.635223118678311,False
36,chaotic,9.38172250694946,5.043044279298335,6.345620453762833,6.410142316595843,5.516810123667474,6.5512153268103415,False
37,chaotic,1.073702937892728,1.6777789520960984,1.4228590219289219,1.5686453647490457,0.5042222378671566,1.5302428035916196,False
38,chaotic,8.470100235560915,6.705086057388637,8.306767724307402,8.696806933248018,8.313255774899453,8.699491894481861,False
39,chaotic,0.25847255598946073,0.1541835159323472,0.11482274858516722,0.2248182980090094,0.11759649901001853,0.21015137155046915,False
40,annual,441.0,469.046526666575,550.7854512623394,1201.0143234218322,552.4118829656802,1203.0645846860443,True
41,annual,31.66227172977879,13.404137433671215,9.932815119941983,15.047522785261034,10.024504077129668,15.329542482681354,False
42,annual,88.21873974425543,65.26315789475643,19.46198137852008,19.46198137852008,21.464510425390245,21.464510425390245,
43,daily,2.418707571227696,2.608876135384251,2.3566229269061463,2.0911748554356753,2.34865202381391,2.1266505782409606,False
44,daily,7.13508480758004,5.598597221413986,6.908577185943443,7.459055890770204,6.7977089498692225,7.451105594622145,False
